---------------------#1: seed=510---------------------------
[1, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 17.181758372818972]
[2, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 16.076516980780355]
[3, array([ 1.0130788 , -1.75114725]), 6.0427443540838084, 14.685073502192996]
[4, array([ 1.30837757,  0.33641125]), 5.5509150334027098, 13.207294777333043]
[5, array([ 1.08332124, -0.07388185]), 3.1541207465810435, 10.626932155383589]
[6, array([ 1.08332124, -0.07388185]), 3.1541207465810435, 9.8843759502339026]
[7, array([ 1.08332124, -0.07388185]), 3.1541207465810435, 8.7099139966056285]
[8, array([ 1.08332124, -0.07388185]), 3.1541207465810435, 7.0103695618091679]
[9, array([-0.25383726, -0.06037971]), 1.8707531813492939, 5.8944326246044474]
[10, array([-0.25383726, -0.06037971]), 1.8707531813492939, 5.0569849490079495]
[11, array([-0.25383726, -0.06037971]), 1.8707531813492939, 4.425788096909514]
[12, array([ 0.0385315 ,  0.13210926]), 0.82681138599528525, 3.1946394600208814]
[13, array([ 0.0385315 ,  0.13210926]), 0.82681138599528525, 3.0232017725283504]
[14, array([ 0.0385315 ,  0.13210926]), 0.82681138599528525, 2.6037114013605014]
[15, array([ 0.0385315 ,  0.13210926]), 0.82681138599528525, 2.522824634157995]
[16, array([ 0.0385315 ,  0.13210926]), 0.82681138599528525, 2.3160467407966001]
[17, array([ 0.0385315 ,  0.13210926]), 0.82681138599528525, 2.1700288722899503]
[18, array([ 0.01591557,  0.00789669]), 0.058638909747142254, 1.663515270917213]
[19, array([ 0.01591557,  0.00789669]), 0.058638909747142254, 1.3989675913773516]
[20, array([ 0.01591557,  0.00789669]), 0.058638909747142254, 1.1373687602573237]
[21, array([ 0.01591557,  0.00789669]), 0.058638909747142254, 0.87003436929781908]
[22, array([ 0.01591557,  0.00789669]), 0.058638909747142254, 0.58401213647135575]
[23, array([ 0.01591557,  0.00789669]), 0.058638909747142254, 0.36201663860865346]
[24, array([-0.00121103, -0.00068371]), 0.0039850133638172913, 0.24858017616736]
[25, array([-0.00121103, -0.00068371]), 0.0039850133638172913, 0.15472358952034151]
[26, array([-0.00121103, -0.00068371]), 0.0039850133638172913, 0.12757108691619079]
[27, array([-0.00121103, -0.00068371]), 0.0039850133638172913, 0.087695367242671102]
[28, array([-0.00121103, -0.00068371]), 0.0039850133638172913, 0.047135121042062259]
[29, array([-0.00121103, -0.00068371]), 0.0039850133638172913, 0.033545231829308353]
[30, array([-0.00121103, -0.00068371]), 0.0039850133638172913, 0.02541650097352326]
[31, array([-0.00121103, -0.00068371]), 0.0039850133638172913, 0.022649931107816546]
[32, array([-0.00121103, -0.00068371]), 0.0039850133638172913, 0.020807001314227323]
[33, array([-0.00121103, -0.00068371]), 0.0039850133638172913, 0.014833655994196438]
[34, array([-0.00121103, -0.00068371]), 0.0039850133638172913, 0.011820656323660916]
[35, array([-0.00085063,  0.00032105]), 0.0025936032731093128, 0.010217811581297642]
[36, array([-0.00085063,  0.00032105]), 0.0025936032731093128, 0.008621652694451587]
[37, array([ 0.00055054, -0.00063379]), 0.0023932779688249362, 0.0069681217039158309]
[38, array([ 0.00018966,  0.00011898]), 0.00063459966835965886, 0.0057632919719087464]
[39, array([  3.41539710e-05,   4.00016975e-06]), 9.7293817479471301e-05, 0.004300551364986571]
[40, array([  3.41539710e-05,   4.00016975e-06]), 9.7293817479471301e-05, 0.0029740459339373084]
[41, array([  3.41539710e-05,   4.00016975e-06]), 9.7293817479471301e-05, 0.0024377594755782715]
[42, array([  3.41539710e-05,   4.00016975e-06]), 9.7293817479471301e-05, 0.0016642367778890055]
[43, array([  3.41539710e-05,   4.00016975e-06]), 9.7293817479471301e-05, 0.0011921918173091405]
[44, array([  3.41539710e-05,   4.00016975e-06]), 9.7293817479471301e-05, 0.0009619715009635321]
