[1, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 17.462481591628865]
[2, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 16.426219725768146]
[3, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 15.488857851759082]
[4, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 14.090678472814037]
[5, array([ 1.43932153,  0.8245958 ]), 6.112351740304895, 12.924167737881254]
[6, array([ 1.43932153,  0.8245958 ]), 6.112351740304895, 12.039568656639538]
[7, array([ 1.43932153,  0.8245958 ]), 6.112351740304895, 10.425917310446199]
[8, array([ 1.43932153, -0.16807324]), 5.6200814857586749, 9.7121413595837556]
[9, array([ 1.96129129,  0.92305956]), 5.469262281457258, 8.7502086290597738]
[10, array([ 1.96129129,  0.02965742]), 4.9077693463225671, 8.0895162353421153]
[11, array([-1.00719646,  0.32838763]), 4.2000932390730803, 7.5468554228627296]
[12, array([-0.53742368,  0.32577447]), 3.9301180306956067, 6.8339767508368023]
[13, array([ 0.01890904, -0.12287668]), 0.7161456941023201, 5.5293724853748953]
[14, array([ 0.01890904, -0.12287668]), 0.7161456941023201, 5.2890651621443396]
[15, array([ 0.01890904, -0.12287668]), 0.7161456941023201, 4.5239733184683377]
[16, array([ 0.01890904, -0.12287668]), 0.7161456941023201, 3.691881742356526]
[17, array([ 0.01890904, -0.12287668]), 0.7161456941023201, 3.381581782618968]
[18, array([-0.06028333, -0.09565153]), 0.63198142410549041, 2.9183032662603048]
[19, array([-0.06028333, -0.09565153]), 0.63198142410549041, 2.677436890670136]
[20, array([-0.06028333, -0.09565153]), 0.63198142410549041, 2.4691211429867517]
[21, array([ 0.02224004, -0.05405178]), 0.25401265658816685, 1.8929929037949222]
[22, array([ 0.02224004, -0.05405178]), 0.25401265658816685, 1.7158510641172549]
[23, array([ 0.039149  ,  0.00853014]), 0.1555345492991127, 1.3627617336603788]
[24, array([ 0.00509956, -0.02122987]), 0.074401450160185068, 0.80789879375530715]
[25, array([ 0.00509956, -0.02122987]), 0.074401450160185068, 0.51803884754445395]
[26, array([-0.00246754,  0.00028383]), 0.0071895576519733773, 0.42732402310840084]
[27, array([-0.00246754,  0.00028383]), 0.0071895576519733773, 0.25325530912081173]
[28, array([-0.00246754,  0.00028383]), 0.0071895576519733773, 0.18456647830510428]
[29, array([ 0.00127795,  0.001026  ]), 0.004706871081936459, 0.12439595171712048]
[30, array([ 0.00127795,  0.001026  ]), 0.004706871081936459, 0.074682422451017152]
[31, array([ 0.00127795,  0.001026  ]), 0.004706871081936459, 0.054462041332033542]
[32, array([ 0.00127795,  0.001026  ]), 0.004706871081936459, 0.047932448603364632]
[33, array([ 0.00127795,  0.001026  ]), 0.004706871081936459, 0.036729019266265352]
[34, array([-0.00145252,  0.00018092]), 0.0041971358377854706, 0.022654124630860029]
[35, array([ 0.00072932, -0.00011161]), 0.0021013310796544893, 0.01485995341663413]
[36, array([ 0.00072932, -0.00011161]), 0.0021013310796544893, 0.012264027696063894]
[37, array([-0.00061646,  0.00028383]), 0.0019318086272090973, 0.0087710518028061742]
[38, array([-0.00061646,  0.00028383]), 0.0019318086272090973, 0.0062593723390873103]
[39, array([  3.71518779e-04,  -5.15216216e-05]), 0.0010646162289416061, 0.0046323158145946232]
[40, array([  3.71518779e-04,  -5.15216216e-05]), 0.0010646162289416061, 0.0034403241156387488]
[41, array([ -1.77228353e-04,   2.65075165e-05]), 0.00050770843666514409, 0.002951965331563766]
[42, array([ -1.77228353e-04,   2.65075165e-05]), 0.00050770843666514409, 0.0022991758688401197]
[43, array([ -1.77228353e-04,   2.65075165e-05]), 0.00050770843666514409, 0.0017306779836313347]
[44, array([ -1.77228353e-04,   2.65075165e-05]), 0.00050770843666514409, 0.0014558170392917624]
[45, array([ -1.77228353e-04,   2.65075165e-05]), 0.00050770843666514409, 0.0010446934358975036]
[46, array([ -7.84223139e-05,   7.76196202e-06]), 0.00022306099379365563, 0.0009525739273741785]
[47, array([  1.05031214e-05,  -9.10903701e-06]), 3.9328434198626638e-05, 0.00083671267230114312]
[48, array([  1.05031214e-05,  -9.10903701e-06]), 3.9328434198626638e-05, 0.00070351104976635877]
[49, array([  2.49983223e-06,  -7.59064710e-06]), 2.2605609107717584e-05, 0.0005002349464770184]
