[1, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 18.266614302904799]
[2, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 17.881709660629056]
[3, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 17.193750973777803]
[4, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 15.690148269386134]
[5, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 14.887239210393574]
[6, array([ 1.39979548,  0.00308606]), 5.2097403842637746, 14.002309884028261]
[7, array([ 1.39979548,  0.00308606]), 5.2097403842637746, 13.097572318470432]
[8, array([ 1.18695729,  0.36219826]), 5.0604331092218331, 12.05433010590597]
[9, array([ 0.25234515,  0.24176943]), 2.6640585748511225, 10.672766831437711]
[10, array([ 0.25234515,  0.24176943]), 2.6640585748511225, 9.8015252588962731]
[11, array([ 0.25234515,  0.24176943]), 2.6640585748511225, 9.1059111988823709]
[12, array([ 0.25234515,  0.24176943]), 2.6640585748511225, 8.4603842653603962]
[13, array([ 0.25234515,  0.24176943]), 2.6640585748511225, 8.3848713473805905]
[14, array([ 0.25234515,  0.24176943]), 2.6640585748511225, 7.7919787925495951]
[15, array([ 0.25234515,  0.24176943]), 2.6640585748511225, 6.7621515531491099]
[16, array([ 0.25234515,  0.24176943]), 2.6640585748511225, 5.8858331990763775]
[17, array([-0.12440362,  0.00308606]), 0.71631639221177368, 5.4174056624568925]
[18, array([-0.12440362,  0.00308606]), 0.71631639221177368, 5.2309850529715423]
[19, array([-0.12440362,  0.00308606]), 0.71631639221177368, 4.8881584224901182]
[20, array([-0.12440362,  0.00308606]), 0.71631639221177368, 4.4116869532484468]
[21, array([-0.12440362,  0.00308606]), 0.71631639221177368, 4.1451329586985839]
[22, array([-0.12440362,  0.00308606]), 0.71631639221177368, 3.6969508046074537]
[23, array([-0.12440362,  0.00308606]), 0.71631639221177368, 3.3124374208591378]
[24, array([-0.12440362,  0.00308606]), 0.71631639221177368, 3.1549243982610662]
[25, array([-0.12440362,  0.00308606]), 0.71631639221177368, 3.0746592443931577]
[26, array([-0.12440362,  0.00308606]), 0.71631639221177368, 3.009260003790907]
[27, array([-0.12440362,  0.00308606]), 0.71631639221177368, 2.9030902760615644]
[28, array([-0.12440362,  0.00308606]), 0.71631639221177368, 2.7619796245733239]
[29, array([-0.00222343,  0.04668749]), 0.18934024827148876, 2.4632282894937005]
[30, array([-0.00222343,  0.04668749]), 0.18934024827148876, 2.2981915685932783]
[31, array([-0.00222343,  0.04668749]), 0.18934024827148876, 2.1168553645786985]
[32, array([-0.00222343,  0.04668749]), 0.18934024827148876, 2.1068153382835955]
[33, array([ 0.02877316, -0.01704411]), 0.12413879486288382, 1.9408649481071703]
[34, array([ 0.02877316, -0.01704411]), 0.12413879486288382, 1.5480872628817643]
[35, array([ 0.02877316, -0.01704411]), 0.12413879486288382, 1.3239348228331687]
[36, array([ 0.02877316, -0.01704411]), 0.12413879486288382, 1.1991387929023973]
[37, array([ 0.02877316, -0.01704411]), 0.12413879486288382, 0.97941968426233483]
[38, array([ 0.02877316, -0.01704411]), 0.12413879486288382, 0.75838546811967755]
[39, array([ 0.02877316, -0.01704411]), 0.12413879486288382, 0.56094556455782896]
[40, array([ 0.02877316, -0.01704411]), 0.12413879486288382, 0.47903735125684488]
[41, array([ 0.02877316, -0.01704411]), 0.12413879486288382, 0.38074057702528563]
[42, array([ 0.02877316, -0.01704411]), 0.12413879486288382, 0.29670073663050278]
[43, array([-0.00267578,  0.01523067]), 0.050094060102932492, 0.22778613971424652]
[44, array([ 0.01216189, -0.00205715]), 0.038934006980465785, 0.19342576941770656]
[45, array([ 0.01216189, -0.00205715]), 0.038934006980465785, 0.16727301046500348]
[46, array([ 0.01216189, -0.00205715]), 0.038934006980465785, 0.15775168058959724]
[47, array([ 0.01216189, -0.00205715]), 0.038934006980465785, 0.12338972528466323]
[48, array([ 0.00259528,  0.00829157]), 0.026582965141749515, 0.10203337468153081]
[49, array([ 0.00259528,  0.00829157]), 0.026582965141749515, 0.086584132960101187]
[50, array([-0.00101027,  0.00597985]), 0.018132347830498663, 0.062609351386163595]
[51, array([-0.00101027,  0.00597985]), 0.018132347830498663, 0.05388152511935642]
[52, array([-0.00060704, -0.00343312]), 0.010184597820629637, 0.039789880953799629]
[53, array([-0.00060704, -0.00343312]), 0.010184597820629637, 0.035845607673384718]
[54, array([-0.00060704, -0.00343312]), 0.010184597820629637, 0.02949919252202866]
[55, array([ 0.0008631,  0.0027974]), 0.0085084852486798646, 0.023083250336932169]
[56, array([ -1.61357305e-05,  -5.26802533e-04]), 0.0014981182030671114, 0.017285266653292108]
[57, array([ -1.61357305e-05,  -5.26802533e-04]), 0.0014981182030671114, 0.011997226166023634]
[58, array([ -1.61357305e-05,  -5.26802533e-04]), 0.0014981182030671114, 0.0096977276852974192]
[59, array([ -1.61357305e-05,  -5.26802533e-04]), 0.0014981182030671114, 0.0071895388481613585]
[60, array([ -3.74432896e-04,   9.49133677e-05]), 0.0010965244679934649, 0.0059923846418242551]
[61, array([  2.62989114e-04,  -3.89586833e-05]), 0.00075384516669574353, 0.0047610516019385152]
[62, array([  2.62989114e-04,  -3.89586833e-05]), 0.00075384516669574353, 0.0036010132060424914]
[63, array([  8.62769515e-05,   7.18627848e-05]), 0.00031792631139682115, 0.0025246304370674542]
[64, array([  8.62769515e-05,   7.18627848e-05]), 0.00031792631139682115, 0.0017239805279284149]
[65, array([  1.75405152e-05,   2.26488568e-05]), 8.1047299663072891e-05, 0.0015232651035865352]
[66, array([  1.75405152e-05,   2.26488568e-05]), 8.1047299663072891e-05, 0.0012578738173155025]
[67, array([  1.75405152e-05,   2.26488568e-05]), 8.1047299663072891e-05, 0.00098791948406455892]
[68, array([  1.75405152e-05,   2.26488568e-05]), 8.1047299663072891e-05, 0.0008197174661810358]
[69, array([  1.75405152e-05,   2.26488568e-05]), 8.1047299663072891e-05, 0.00070422621031580586]
[70, array([  1.75405152e-05,   2.26488568e-05]), 8.1047299663072891e-05, 0.00059141655155636741]
